"﻿Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Variável - Rendimento médio da produção (Quilogramas por Hectare),,,,,,,,,,,,,,,,,,,,,,
Cód.,Município,Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,
Cód.,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cód.,Município,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar
3554300,Teodoro Sampaio (SP),70000,70000,69230,50000,70000,61614,71000,71000,64000,64000,64000,64000,60000,64000,33000,110028,75982,64000,65346,73538,60000
3554409,Terra Roxa (SP),80000,96969,83870,89000,90000,92417,100000,85000,85000,90000,90000,65000,85000,85000,68000,75000,80000,80000,75000,80000,80000
3554508,Tietê (SP),99337,85714,100000,100000,98000,98899,100000,100000,100000,75000,70588,82192,82000,64412,75000,75000,75000,75000,75000,75000,75000
3554607,Timburi (SP),-,-,80000,80000,82000,79578,92000,80000,80000,80500,80769,80000,80000,86000,86000,80000,80000,80000,80000,80000,80000
3554656,Torre de Pedra (SP),-,-,-,-,-,-,-,-,-,-,50000,50000,...,...,...,-,90000,90000,90000,84286,84286
3554706,Torrinha (SP),69926,70000,80000,80000,80000,79472,80000,80000,85000,85000,85000,85000,85000,75000,80000,74000,74000,70000,60000,80000,75000
3554755,Trabiju (SP),70000,80000,71600,59000,78100,77576,77576,80000,80000,80000,96467,96468,92000,92000,75000,80000,80000,75000,75000,76667,77000
3554805,Tremembé (SP),-,-,-,-,-,-,-,-,-,...,-,-,-,-,-,-,-,-,-,-,-
3554904,Três Fronteiras (SP),-,-,-,-,-,-,-,-,-,120000,120000,100000,70000,70000,60000,80000,80000,70000,60000,80000,70000
3554953,Tuiuti (SP),-,-,-,-,-,-,-,-,-,-,-,50000,-,-,-,-,-,-,-,-,-
