CD_MUN;Município;value;YEAR;AET;NDVI;NPP;SOIL;TMIN;TMMX;PR
3535200;Palmeira d'Oeste (SP);;2000;682;5439;4191;206;164;292;97
3535309;Palmital (SP);60000;2000;800;4784;5371;145;152;278;89
3535507;Paraguaçu Paulista (SP);65000;2000;813;5186;5101;157;156;281;96
3535705;Paraíso (SP);70000;2000;689;5531;6808;371;166;290;107
3535804;Paranapanema (SP);69117;2000;763;4991;9151;312;141;263;94
3535903;Paranapuã (SP);;2000;676;5250;4240;285;164;293;102
3536000;Parapuã (SP);80000;2000;763;5307;4444;152;160;286;95
3536208;Pariquera-Açu (SP);;2000;824;7293;17611;555;178;270;136
3536257;Parisi (SP);;2000;685;5200;4834;288;167;296;100
3536307;Patrocínio Paulista (SP);80000;2000;664;5752;9363;407;155;259;127
3536406;Paulicéia (SP);;2000;720;5366;3477;213;175;297;88
3536505;Paulínia (SP);;2000;657;4739;9087;278;148;266;103
3536570;Paulistânia (SP);60000;2000;767;5622;8475;244;146;275;96
3536604;Paulo de Faria (SP);83000;2000;695;5024;5244;379;170;301;111
3536703;Pederneiras (SP);75000;2000;709;5443;7641;238;152;278;93
3536802;Pedra Bela (SP);;2000;689;6354;12673;357;116;231;122
3536901;Pedranópolis (SP);65000;2000;681;5201;4888;290;166;295;100
3537008;Pedregulho (SP);80000;2000;653;5800;9304;378;155;262;133
3537107;Pedreira (SP);60000;2000;668;6003;10784;317;139;256;105
3537156;Pedrinhas Paulista (SP);;2000;816;4085;4788;160;164;284;94
3537305;Penápolis (SP);70000;2000;725;4881;5249;232;158;286;96
3537404;Pereira Barreto (SP);100000;2000;707;4693;4042;205;167;293;96
3537503;Pereiras (SP);80000;2000;674;5567;9990;193;147;263;94
3537701;Piacatu (SP);80000;2000;717;5431;4554;180;159;286;95
3538006;Pindamonhangaba (SP);60000;2000;693;6400;14799;391;139;252;114
3538105;Pindorama (SP);60000;2000;699;5418;6734;324;163;287;102
3538303;Piquerobi (SP);;2000;764;5157;2740;135;172;295;90
3538600;Piracaia (SP);;2000;687;6557;14034;386;124;232;117
3538709;Piracicaba (SP);75000;2000;662;5280;9031;220;150;268;100
3538808;Piraju (SP);;2000;814;5471;8476;236;142;268;97
3538907;Pirajuí (SP);70000;2000;735;5264;6447;239;153;280;95
3539004;Pirangi (SP);80000;2000;686;5364;6610;369;165;288;107
3539202;Pirapozinho (SP);80000;2000;815;5326;3860;130;169;289;92
3539301;Pirassununga (SP);85000;2000;677;5503;8146;327;157;276;109
3539400;Piratininga (SP);;2000;744;5775;7810;239;150;278;93
3539509;Pitangueiras (SP);75748;2000;669;5031;6635;383;165;288;111
3539608;Planalto (SP);80000;2000;700;5168;4822;243;163;292;95
3539707;Platina (SP);70000;2000;798;5136;5788;172;149;275;90
3539905;Poloni (SP);70000;2000;694;5451;4993;269;164;292;97
3540002;Pompéia (SP);;2000;745;5177;5437;151;151;279;92
3540101;Pongaí (SP);80000;2000;727;4925;6042;266;156;283;98
3540200;Pontal (SP);70000;2000;669;5153;6777;361;166;288;116
3540259;Pontalinda (SP);90000;2000;684;5310;4122;221;165;293;96
3540309;Pontes Gestal (SP);;2000;684;5141;4938;323;169;299;102
3540408;Populina (SP);;2000;680;5047;4267;313;166;295;105
3540507;Porangaba (SP);;2000;690;5606;10373;211;146;263;95
3540606;Porto Feliz (SP);70000;2000;654;5340;9588;182;145;257;96
3540705;Porto Ferreira (SP);60000;2000;682;5492;8309;330;159;279;112
3540804;Potirendaba (SP);100000;2000;690;5419;5648;287;165;292;95
3540853;Pracinha (SP);60000;2000;740;5077;3454;143;167;291;91
3540903;Pradópolis (SP);70000;2000;679;5050;7161;326;160;282;112
3541059;Pratânia (SP);77996;2000;740;5496;9479;279;137;262;101
3541109;Presidente Alves (SP);78000;2000;745;5757;6888;237;149;277;95
3541208;Presidente Bernardes (SP);80000;2000;779;5356;3023;116;172;293;89
3541307;Presidente Epitácio (SP);;2000;803;4616;2877;157;174;294;92
3541406;Presidente Prudente (SP);70000;2000;761;5332;3631;129;172;294;91
3541505;Presidente Venceslau (SP);;2000;767;5149;2776;145;173;295;91
3541604;Promissão (SP);70000;2000;734;4915;5321;245;157;284;95
3541653;Quadra (SP);80000;2000;686;5052;9811;196;141;256;95
3541703;Quatá (SP);50000;2000;794;5360;4804;152;156;282;96
3541802;Queiroz (SP);;2000;720;4900;5000;158;155;282;90
3541901;Queluz (SP);;2000;718;6705;15644;606;124;248;122
3542008;Quintana (SP);;2000;762;5349;4949;150;153;280;94
3542107;Rafard (SP);68000;2000;642;5336;8859;161;148;262;94
3542206;Rancharia (SP);60000;2000;805;5334;4451;143;162;286;97
3542404;Regente Feijó (SP);65000;2000;794;5375;4016;124;169;290;93
3542503;Reginópolis (SP);70000;2000;718;5267;6472;241;157;283;93
3542701;Restinga (SP);80000;2000;664;5585;8333;388;159;261;129
3542800;Ribeira (SP);;2000;793;7383;18894;593;146;254;104
3542909;Ribeirão Bonito (SP);60000;2000;690;5717;8867;309;151;267;106
3543105;Ribeirão Corrente (SP);110000;2000;654;5549;7821;383;158;258;132
3543204;Ribeirão do Sul (SP);80000;2000;809;4896;5643;198;147;274;95
3543238;Ribeirão dos Índios (SP);70000;2000;749;5111;3142;142;172;295;90
3543402;Ribeirão Preto (SP);70000;2000;706;4801;7347;350;159;283;122
3543501;Riversul (SP);;2000;825;5384;8354;281;146;263;94
3543600;Rifaina (SP);;2000;654;5272;9360;371;161;278;132
3543709;Rincão (SP);50000;2000;686;5243;8016;316;157;278;110
3543808;Rinópolis (SP);90000;2000;732;5308;4341;171;160;286;95
3543907;Rio Claro (SP);85000;2000;662;5537;9202;263;149;265;106
3544004;Rio das Pedras (SP);60000;2000;640;5081;8433;182;146;262;97
3544202;Riolândia (SP);90000;2000;687;4696;4920;354;170;300;106
3544251;Rosana (SP);;2000;900;5006;2685;178;166;289;98
3544400;Rubiácea (SP);80000;2000;696;5317;4522;188;160;286;94
3544608;Sabino (SP);60000;2000;729;4462;5781;268;159;287;96
